train_score,test_score
47.314,47.782
52.335,53.007
49.732,50.088
51.013,51.429
49.608,49.99
50.109,50.637
48.184,48.872
51.051,51.552
47.433,47.901
52.495,53.056
50.396,50.925
50.6,51.045
49.918,50.219
50.115,50.697
49.123,49.831
52.123,52.771
49.858,50.541
51.133,51.672
48.938,49.649
51.356,51.845
48.688,49.287
53.553,53.967
50.31,50.78
52.534,52.885
50.776,51.036
51.235,51.609
49.525,50.104
52.553,53.146
49.519,50.064
52.642,53.255
52.41,53.024
52.664,53.168
51.495,52.476
50.322,51.039
49.541,50.105
50.445,51.123
49.935,50.325
53.536,53.954
50.118,50.591
53.807,54.278
50.135,50.552
53.289,54.036
49.34,50.296
53.279,53.844
50.014,50.822
52.587,53.279
51.656,52.491
52.575,53.244
51.373,52.043
53.49,54.06
52.671,53.205
52.314,52.963
52.142,52.824
49.024,49.979
47.273,48.013
49.509,50.258
47.278,48.247
51.74,52.044
50.279,50.643
51.262,51.662
49.598,49.969
50.57,51.313
49.773,49.866
50.274,51.0
49.383,49.707
52.83,53.433
49.544,50.14
52.899,53.496
49.408,49.991
53.637,54.147
50.793,51.703
53.694,54.2
50.395,50.868
52.744,53.305
50.844,51.693
52.824,53.457
51.548,52.316
50.318,50.795
48.217,48.717
50.274,50.932
47.539,47.881
51.698,52.025
49.898,50.354
51.008,51.557
49.595,49.926
50.489,51.327
48.927,49.845
49.701,50.313
48.931,49.55
52.332,52.913
49.576,50.582
52.751,53.32
49.101,49.339
52.536,53.069
50.381,51.026
52.493,53.094
50.072,50.831
52.655,53.25
50.001,50.78
52.483,53.078
49.96,50.878
52.108,52.713
49.661,50.265
49.961,50.506
49.725,50.372
50.275,50.815
49.701,49.973
50.55,51.085
48.819,49.503
